date_time,operation,source_ip,destination_ip,source_port,destination_port,label
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39944,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39944,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39945,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39945,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39944,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39944,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39945,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39945,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39944,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39944,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39945,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 21:47:00 UTC,Success,172.23.240.156,172.23.0.1,39945,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 21:48:00 UTC,Success,172.23.240.156,172.23.0.1,39944,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 21:48:00 UTC,Success,172.23.240.156,172.23.0.1,39944,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 21:48:00 UTC,Success,172.23.240.156,172.23.0.1,39945,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 21:48:00 UTC,Success,172.23.240.156,172.23.0.1,39945,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46828,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46828,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46829,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46829,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46828,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46828,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46829,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 23:20:00 UTC,Success,172.23.236.8,172.23.0.1,46829,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-05 23:26:00 UTC,Success,172.23.236.8,172.23.0.1,46828,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 23:26:00 UTC,Success,172.23.236.8,172.23.0.1,46828,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 23:26:00 UTC,Success,172.23.236.8,172.23.0.1,46829,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 23:26:00 UTC,Success,172.23.236.8,172.23.0.1,46829,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-05 23:29:00 UTC,Success,172.23.236.8,172.23.0.1,46828,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 23:29:00 UTC,Success,172.23.236.8,172.23.0.1,46828,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 23:29:00 UTC,Success,172.23.236.8,172.23.0.1,46829,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-05 23:29:00 UTC,Success,172.23.236.8,172.23.0.1,46829,5432, [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 
2012-04-06 00:07:00 UTC,Success,172.23.236.8,172.23.0.1,60645,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:07:00 UTC,Success,172.23.236.8,172.23.0.1,60645,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:07:00 UTC,Success,172.23.236.8,172.23.0.1,60646,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:07:00 UTC,Success,172.23.236.8,172.23.0.1,60646,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:07:00 UTC,Success,172.23.236.8,172.23.0.1,60645,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-06 00:07:00 UTC,Success,172.23.236.8,172.23.0.1,60645,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-06 00:08:00 UTC,Success,172.23.236.8,172.23.0.1,60646,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-06 00:08:00 UTC,Success,172.23.236.8,172.23.0.1,60646,1521, [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 
2012-04-06 00:13:00 UTC,Success,172.23.236.8,172.23.0.1,60645,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-06 00:13:00 UTC,Success,172.23.236.8,172.23.0.1,60645,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-06 00:13:00 UTC,Success,172.23.236.8,172.23.0.1,60646,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-06 00:13:00 UTC,Success,172.23.236.8,172.23.0.1,60646,3306, [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 
2012-04-06 00:13:00 UTC,Success,172.23.231.69,172.23.0.1,53648,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:13:00 UTC,Success,172.23.231.69,172.23.0.1,53648,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:13:00 UTC,Success,172.23.231.69,172.23.0.1,53649,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:13:00 UTC,Success,172.23.231.69,172.23.0.1,53649,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
2012-04-06 00:13:00 UTC,Success,172.23.231.69,172.23.0.1,53079,1433, [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 
